UID,PID,PTM,PEN,DESC,CAT,PEY,ACT
1303,532531,SEA,MU-0400,False Start,1,5,A
1304,532535,NE,SV-0400,False Start,1,5,A
1305,532548,NE,XX-0000,Illegal Shift,3,5,A
1306,532559,SEA,PM-0700,Offensive Holding,2,0,D
1307,532582,NE,TB-2300,Intentional Grounding,3,0,D
1308,532601,SEA,BG-0500,Offensive Holding,2,10,A
1309,532621,SEA,JJ-4300,Unnecessary Roughness,6,15,A
1310,532625,NE,PC-0300,Defensive Pass Interference,5,40,A
1311,532637,NE,BS-3200,Unnecessary Roughness,6,15,A
1312,532641,NE,AD-0930,Defensive Pass Interference,5,0,D
1313,532649,NE,TB-2300,Intentional Grounding,3,10,A
1314,532667,NE,XX-0000,Illegal Motion,3,0,D
1315,532701,NYG,JW-3600,Offensive Holding,2,10,A
1316,532720,SF,JG-2400,False Start,1,5,A
1317,532733,SF,MI-0200,Offensive Holding,2,10,A
1318,532737,SF,AL-0500,Delay of Game,3,5,A
1319,532740,SF,TB-2800,Defensive Pass Interference,5,0,D
1320,532760,SF,LD-0200,False Start,1,5,A
1321,532769,SF,AS-1600,Delay of Game,3,5,A
1322,532805,NYG,AR-1400,Illegal Block Above the Waist,7,10,A
1323,532815,SF,TB-2800,Defensive Offside,4,5,A
1324,532873,WAS,NP-0100,Offensive Holding,2,10,A
1325,532884,WAS,FD-0200,Offensive Pass Interference,2,6,A
1326,532892,MIN,EH-0600,Roughing the Passer,6,6,A
1327,532908,WAS,DJ-2400,Offensive Holding,2,5,A
1328,532916,WAS,TW-2800,False Start,1,5,A
1329,532919,MIN,JB-5700,Defensive Holding,5,5,A
1330,532920,MIN,HS-0130,Horse Collar,7,8,A
1331,532931,WAS,RK-0500,Defensive Pass Interference,5,3,A
1332,532941,WAS,FD-0200,Offensive Holding,2,10,A
1333,532950,MIN,JS-7200,False Start,1,5,A
1334,532977,WAS,JW-5300,Defensive Pass Interference,5,27,A
1335,533000,MIN,KR-1200,False Start,1,5,A
1336,533015,HOU,DP-1950,Defensive Offside,4,5,A
1337,533017,HOU,DM-0200,Defensive Offside,4,0,D
1338,533017,HOU,BJ-0700,Unnecessary Roughness,6,15,A
1339,533035,HOU,DB-4900,False Start,1,4,A
1340,533051,GB,CM-0900,Defensive Offside,4,5,A
1341,533057,GB,SS-1300,Defensive Pass Interference,5,26,A
1342,533068,HOU,KJ-0100,Defensive Pass Interference,5,28,A
1343,533077,HOU,BJ-1950,False Start,1,5,A
1344,533087,GB,JF-1600,Offensive Pass Interference,2,10,A
1345,533094,HOU,BM-0800,Defensive Holding,5,0,D
1346,533102,GB,MN-0400,Offensive Holding,2,10,A
1347,533105,HOU,CB-0800,Leaping,8,10,A
1348,533108,HOU,DM-0200,Unnecessary Roughness,6,2,A
1349,533178,GB,MN-0400,Illegal Formation,3,0,D
1350,533184,DEN,VM-0300,Illegal Use of Hands,5,5,A
1351,533204,SD,JC-3000,Face Mask,6,15,A
1352,533205,DEN,CG-3200,Offensive Holding,2,10,A
1353,533214,SD,PR-0300,False Start,1,5,A
1354,533217,SD,MH-1030,Offensive Holding,2,10,A
1355,533220,SD,RM-3100,False Start,1,5,A
1356,533221,SD,AG-0500,Offensive Pass Interference,2,9,A
1357,533228,DEN,DK-1000,Offensive Holding,2,10,A
1358,533234,SD,PR-0300,False Start,1,5,A
1359,533236,DEN,VM-0300,Neutral Zone,4,5,A
1360,533237,DEN,MA-0200,Unnecessary Roughness,6,15,A
1361,533238,DEN,JL-1200,Delay of Game,3,5,A
1362,533255,DEN,DT-1950,Defensive Holding,5,5,A
1363,533297,DEN,OF-0100,False Start,1,5,A
1364,533298,DEN,WM-0300,Offensive Holding,2,10,A
1365,533300,SD,SP-1100,Defensive Offside,4,0,D
1366,533314,SD,CL-1000,Encroachment,4,5,A
1367,533325,SD,MG-0600,Defensive Offside,4,5,A
1368,533328,DEN,ED-0200,Offensive Pass Interference,2,11,A
1369,533329,SD,VM-0200,Encroachment,4,5,A
1370,533365,SF,RM-2400,Defensive Offside,4,5,A
1371,533366,SF,DG-1300,Unsportsmanlike Conduct,6,15,A
1372,533395,SF,JS-5700,False Start,1,5,A
1373,533408,SEA,XX-0000,Unnecessary Roughness,6,0,O
1374,533408,SF,LG-0700,Unnecessary Roughness,6,0,O
1375,533413,SEA,RO-0400,Offensive Holding,2,10,A
1376,533428,SF,DD-1800,Illegal Formation,3,5,A
1377,533436,SEA,BM-1800,Encroachment,4,5,A
1378,533467,SF,AD-0600,Tripping,7,10,A
1379,533485,SEA,RO-0400,False Start,1,5,A
1380,533487,SEA,PM-0700,Chop Block,7,0,D
1381,533495,BUF,KS-0800,Illegal Contact,5,5,A
1382,533501,BUF,AC-0500,Unnecessary Roughness,6,15,A
1383,533507,TEN,DM-3600,Neutral Zone,4,5,A
1384,533508,BUF,EP-0300,Unnecessary Roughness,6,15,A
1385,533515,BUF,SJ-0500,False Start,1,5,A
1386,533558,TEN,MG-1800,Unnecessary Roughness,6,15,A
1387,533563,BUF,CH-0200,False Start,1,5,A
1388,533568,BUF,TG-1550,False Start,1,5,A
1389,533614,TEN,MH-1600,Delay of Game,3,5,A
1390,533620,BUF,EP-0300,Offensive Holding,2,10,A
1391,533624,BUF,AW-1200,Defensive Holding,5,5,A
1392,533671,NO,MC-2400,Offensive Holding,2,0,D
1393,533671,NO,BG-2200,Offensive Holding,2,10,A
1394,533674,TB,BM-1100,Defensive Holding,5,0,D
1395,533705,NO,MW-3300,Defensive Offside,4,5,A
1396,533706,NO,JG-0400,Offensive Holding,2,10,A
1397,533737,TB,JM-4100,Illegal Use of Hands,2,10,A
1398,533747,TB,EB-1100,Running Into the Kicker,6,5,A
1399,533758,TB,GG-0300,Defensive Offside,4,0,D
1400,533763,TB,XX-0000,Unsportsmanlike Conduct,6,15,A
1401,533764,NO,DT-0800,False Start,1,5,A
1402,533778,TB,XX-0000,Illegal Formation,3,0,D
1403,533781,NO,MJ-0600,Face Mask,6,15,A
1404,533783,TB,DD-2300,Illegal Use of Hands,2,10,A
1405,533786,TB,JF-3100,Delay of Game,3,5,A
1406,533787,NO,RH-0700,Illegal Contact,5,5,A
1407,533789,NO,RH-0700,Illegal Contact,5,5,A
1408,533792,TB,VJ-0100,False Start,1,5,A
1409,533797,NO,CL-1300,Defensive Holding,5,0,D
1410,533816,TB,MW-2800,Illegal Touch Pass,3,5,A
1411,533820,IND,TH-1800,Illegal Formation,3,5,A
1412,533821,IND,TH-1850,Illegal Shift,3,5,A
1413,533832,CLE,RV-0100,Offensive Holding,2,10,A
1414,533837,IND,JF-3060,Roughing the Passer,6,15,A
1415,533845,CLE,MS-0550,False Start,1,5,A
1416,533849,CLE,JC-5600,Offensive Pass Interference,2,10,A
1417,533854,CLE,SB-1700,Illegal Contact,5,5,A
1418,533869,CLE,RV-0100,Offensive Holding,2,10,A
1419,533878,IND,CF-0650,False Start,1,5,A
1420,533881,CLE,BW-2650,Neutral Zone,4,5,A
1421,533895,IND,XX-0000,12 On-field,3,5,A
1422,533921,IND,WJ-0700,False Start,1,5,A
1423,533933,CLE,TC-0350,Illegal Block Above the Waist,7,10,A
1424,533934,CLE,JC-0400,False Start,1,5,A
1425,533951,CLE,DJ-0500,Unnecessary Roughness,6,15,A
1426,533962,IND,MF-1200,Offensive Holding,2,10,A
1427,533977,WAS,CW-3300,Offside on Free Kick,3,5,A
1428,533983,WAS,RK-0500,Defensive Offside,4,5,A
1429,533985,NYG,SL-0800,False Start,1,5,A
1430,533994,WAS,LH-0600,False Start,1,5,A
1431,533998,WAS,FD-0200,Illegal Shift,3,5,A
1432,533999,NYG,MB-2700,Unnecessary Roughness,6,15,A
1433,534007,WAS,DH-0700,Unnecessary Roughness,6,15,A
1434,534067,NYG,WB-0400,Offensive Holding,2,10,A
1435,534069,WAS,SB-0900,Defensive Offside,4,5,A
1436,534076,WAS,TP-1800,Personal Foul,6,15,A
1437,534143,DAL,DB-5300,Unnecessary Roughness,6,10,A
1438,534147,DAL,OL-0300,Offensive Holding,2,10,A
1439,534164,CAR,DE-0500,Defensive Holding,5,0,D
1440,534167,CAR,SF-0700,Defensive Offside,4,6,A
1441,534177,CAR,AS-0940,Offensive Holding,2,10,A
1442,534179,CAR,AS-0940,False Start,1,5,A
1443,534191,CAR,CG-1400,Personal Foul,6,15,A
1444,534218,DAL,JW-6000,Offensive Holding,2,10,A
1445,534227,CAR,JG-3900,False Start,1,5,A
1446,534232,CAR,JT-1800,Defensive Holding,5,5,A
1447,534235,DAL,DF-1800,False Start,1,5,A
1448,534252,DAL,JR-0300,Personal Foul,6,5,A
1449,534255,DAL,BC-0500,Defensive Holding,5,3,A
1450,534267,CAR,AS-0940,False Start,1,5,A
1451,534269,CAR,CJ-2300,Player Out of Bounds on Punt,3,5,A
1452,534287,CAR,JA-1700,Horse Collar,7,15,A
1453,534307,GB,MN-0400,Offensive Holding,2,0,D
1454,534309,STL,JH-6000,Offensive Holding,2,0,O
1455,534309,GB,JB-8100,Unsportsmanlike Conduct,6,0,O
1456,534322,STL,CL-1400,Defensive Offside,4,0,D
1457,534323,STL,CD-0200,Illegal Contact,5,3,A
1458,534343,STL,JB-1400,False Start,1,5,A
1459,534357,STL,SB-1100,Delay of Game,3,5,A
1460,534370,GB,BB-3700,False Start,1,5,A
1461,534393,GB,DM-4030,Unnecessary Roughness,6,15,A
1462,534406,GB,BB-3700,Offensive Holding,2,10,A
1463,534408,STL,CL-1400,Neutral Zone,4,5,A
1464,534412,STL,CF-0500,Unnecessary Roughness,6,7,A
1465,534435,STL,KL-0200,Defensive Offside,4,0,D
1466,534452,STL,SS-1900,False Start,1,5,A
1467,534453,GB,JW-6530,Defensive Offside,4,0,D
1468,534494,HOU,GG-0400,Offensive Holding,2,10,A
1469,534498,BAL,BP-0900,Face Mask,6,15,A
1470,534515,HOU,JC-1600,Offensive Holding,2,10,A
1471,534522,BAL,DP-1300,Face Mask,6,15,A
1472,534530,BAL,CT-1250,Unnecessary Roughness,6,10,A
1473,534552,BAL,TS-3500,Defensive Offside,4,0,D
1474,534555,BAL,CW-2300,Defensive Holding,5,5,A
1475,534558,BAL,BP-0900,Unnecessary Roughness,6,11,A
1476,534574,HOU,JJ-5000,Defensive Pass Interference,5,21,A
1477,534586,HOU,CM-3600,Offensive Holding,2,10,A
1478,534605,HOU,JJ-5000,Defensive Pass Interference,5,9,A
1479,534635,MIN,MM-3600,Illegal Block Above the Waist,7,8,A
1480,534636,MIN,JS-7200,Offensive Holding,2,4,A
1481,534649,ARI,WG-0500,Defensive Pass Interference,5,29,A
1482,534681,ARI,DD-2000,Defensive Holding,5,5,A
1483,534682,MIN,SB-2100,False Start,1,5,A
1484,534684,ARI,PP-0400,Defensive Pass Interference,5,3,A
1485,534690,ARI,DC-3000,False Start,1,5,A
1486,534696,MIN,AJ-0400,Offensive Holding,2,3,A
1487,534700,MIN,TM-2200,Ineligible Downfield Kick,3,5,A
1488,534716,ARI,BM-0360,False Start,1,5,A
1489,534719,MIN,JA-0900,Defensive Offside,4,0,D
1490,534722,MIN,BR-1000,Defensive Offside,4,5,A
1491,534727,MIN,XX-0000,Illegal Formation,3,5,A
1492,534753,ARI,RJ-0900,Illegal Blindside Block,8,15,A
1493,534762,ARI,JB-3350,Defensive Offside,4,0,D
1494,534765,ARI,RO-0300,Offensive Holding,2,10,A
1495,534769,ARI,JS-3700,Delay of Game,3,5,A
1496,534783,ARI,RJ-0900,Offside on Free Kick,3,5,A
1497,534802,NE,RD-1700,Defensive Holding,5,5,A
1498,534810,NYJ,NB-0200,Offensive Holding,2,10,A
1499,534824,NYJ,BM-3500,False Start,1,5,A
1500,534830,NYJ,XX-0000,Encroachment,4,5,A
1501,534837,NE,DT-1100,Offensive Holding,2,10,A
1502,534841,NYJ,MS-0100,Illegal Kick,3,0,D
1503,534862,NYJ,NB-0200,Face Mask,6,15,A
1504,534875,NE,DH-2950,Defensive Holding,5,5,A
1505,534894,NYJ,KW-2100,Defensive Holding,5,5,A
1506,534901,NE,AH-2800,False Start,1,5,A
1507,534915,NYJ,BM-3500,Offensive Holding,2,10,A
1508,534925,NYJ,KR-0430,False Start,1,4,A
1509,534929,NE,RD-1700,Defensive Holding,5,0,D
1510,534932,NE,AD-0930,Illegal Contact,5,0,D
1511,534942,NE,BL-1200,Offensive Pass Interference,2,10,A
1512,534972,NYJ,KW-2100,Defensive Pass Interference,5,6,A
1513,534982,NE,AD-0930,Defensive Holding,5,5,A
1514,534989,JAC,CS-1500,Offensive Holding,2,10,A
1515,534996,OAK,JC-4000,False Start,1,5,A
1516,535022,OAK,CB-1450,Defensive Offside,4,5,A
1517,535023,OAK,MS-1100,Encroachment,4,5,A
1518,535027,OAK,TK-0200,Neutral Zone,4,5,A
1519,535086,JAC,RM-1300,Defensive Pass Interference,5,33,A
1520,535097,OAK,MM-3800,Offensive Holding,2,10,A
1521,535113,OAK,CF-1000,Offensive Holding,2,8,A
1522,535116,JAC,AB-2730,Roughing the Passer,6,15,A
1523,535122,OAK,CP-0500,Delay of Game,3,5,A
1524,535123,OAK,OS-0300,Offensive Pass Interference,2,10,A
1525,535142,JAC,AR-1500,Defensive Pass Interference,5,24,A
1526,535143,JAC,XX-0000,12 On-field,3,0,A
1527,535148,JAC,CS-1500,Offensive Pass Interference,2,10,A
1528,535153,OAK,MB-3600,False Start,1,5,A
1529,535200,PIT,SS-3400,Offensive Holding,2,10,A
1530,535207,PIT,HM-0200,Offensive Holding,2,10,A
1531,535217,PIT,DV-0100,Offensive Holding,2,10,A
1532,535221,PIT,BB-1300,Offensive Holding,2,10,A
1533,535250,CIN,TR-0650,Offensive Holding,2,10,A
1534,535267,CIN,CP-0800,Offensive Holding,2,0,D
1535,535268,PIT,AR-1130,Offensive Holding,2,0,O
1536,535268,CIN,JM-4300,Fair Catch Interference,6,0,O
1537,535273,CIN,MS-0150,Illegal Block Above the Waist,7,10,A
1538,535277,PIT,IT-0100,Offensive Holding,2,10,A
1539,535351,CHI,GC-0300,Offensive Holding,2,10,A
1540,535352,DET,CW-2900,Unnecessary Roughness,6,15,A
1541,535365,CHI,XX-0000,Illegal Block Above the Waist,7,10,A
1542,535369,CHI,CT-1500,Offensive Holding,2,1,A
1543,535370,CHI,LL-1200,False Start,1,1,A
1544,535375,DET,AS-1900,Horse Collar,7,15,A
1545,535379,CHI,GC-0300,Offensive Holding,2,0,O
1546,535379,DET,WY-0300,Defensive Offside,4,0,O
1547,535387,DET,TW-1750,False Start,1,5,A
1548,535428,CHI,CT-1500,Defensive Pass Interference,5,1,A
1549,535431,CHI,RG-0500,False Start,1,2,A
1550,535445,CHI,JT-1300,Offensive Holding,2,4,A
1551,535447,CHI,CR-0200,Unnecessary Roughness,6,15,A
1552,535448,DET,CH-4200,Defensive Pass Interference,5,7,A
1553,535453,CHI,RG-0500,False Start,1,5,A
1554,535472,DET,TS-0700,False Start,1,5,A
1555,535498,TB,LJ-1150,Offensive Holding,2,17,A
1556,535516,MIN,PL-0300,False Start,1,5,A
1557,535518,MIN,MM-3600,False Start,1,5,A
1558,535540,TB,DM-0450,False Start,1,5,A
1559,535548,TB,RM-4200,Roughing the Passer,6,15,A
1560,535557,MIN,CC-4200,Unnecessary Roughness,6,12,A
1561,535621,MIN,JA-0900,Face Mask,6,0,O
1562,535621,TB,DP-1100,Unnecessary Roughness,6,0,O
1563,535627,TB,LJ-1150,Face Mask,6,12,A
1564,535628,MIN,XX-0000,Illegal Use of Hands,5,5,A
1565,535636,TB,JZ-0300,Offensive Holding,2,0,D
1566,535654,MIN,MK-0150,False Start,1,5,A
1567,535678,CAR,CJ-1300,Illegal Use of Hands,5,7,A
1568,535687,CAR,GH-0200,Ineligible Downfield Pass,3,0,D
1569,535697,CAR,JB-8600,Offensive Holding,2,10,A
1570,535720,CHI,TJ-1000,Illegal Contact,5,5,A
1571,535738,CAR,TD-0700,Defensive Pass Interference,5,4,A
1572,535745,CHI,II-0100,Defensive Offside,4,5,A
1573,535747,CAR,JG-3900,Personal Foul,6,0,D
1574,535760,CHI,CR-0200,Offensive Holding,2,0,D
1575,535770,CHI,CC-4000,Personal Foul,6,10,A
1576,535795,CHI,RG-0500,False Start,1,5,A
1577,535815,CHI,II-0100,Roughing the Passer,6,15,A
1578,535849,SD,QJ-0100,Defensive Holding,5,5,A
1579,535879,SD,VM-0200,Encroachment,4,5,A
1580,535892,CLE,XX-0000,Offensive Holding,2,10,A
1581,535901,CLE,JG-3100,False Start,1,5,A
1582,535915,CLE,JC-0400,Offensive Holding,2,10,A
1583,535952,CLE,GL-0400,Offensive Holding,2,10,A
1584,535969,SD,JG-0300,False Start,1,5,A
1585,535997,ATL,TM-1500,False Start,1,5,A
1586,536000,PHI,JB-0100,Defensive Holding,5,5,A
1587,536022,PHI,DR-2800,Defensive Pass Interference,5,22,A
1588,536022,PHI,DR-2800,Defensive Holding,5,0,D
1589,536025,PHI,MK-0730,Defensive Pass Interference,5,1,A
1590,536039,ATL,JA-0100,Neutral Zone,4,5,A
1591,536047,ATL,XX-0000,Illegal Formation,3,5,A
1592,536065,PHI,MK-0730,Defensive Holding,5,0,D
1593,536095,ATL,JJ-4700,Illegal Touch Pass,3,5,A
1594,536105,PHI,MK-0730,Defensive Pass Interference,5,14,A
1595,536117,ATL,JA-0100,Defensive Offside,4,0,D
1596,536137,ATL,SN-0500,Unnecessary Roughness,6,15,A
1597,536145,ATL,XX-0000,Delay of Game,3,5,A
1598,536149,PHI,TH-1500,Offensive Holding,2,10,A
1599,536155,PHI,TC-2000,Defensive Offside,4,5,A
1600,536156,PHI,TC-2000,Personal Foul,6,0,O
1601,536156,ATL,TG-1300,Personal Foul,6,0,O
1602,536162,NYJ,MW-1800,Defensive Offside,4,5,A
1603,536164,NYJ,AC-2400,Unnecessary Roughness,6,15,A
1604,536217,NYJ,SH-1150,Offensive Offside,8,5,A
1605,536229,NYJ,MS-0100,Delay of Game,3,5,A
1606,536273,NYJ,MD-0950,Roughing the Passer,6,15,A
1607,536274,MIA,RI-0100,Offensive Holding,2,15,A
1608,536274,MIA,JM-1130,Clipping,7,0,D
1609,536283,MIA,MM-4700,False Start,1,6,A
1610,536321,MIA,KB-2500,Defensive Holding,5,5,A
1611,536328,MIA,JW-5100,Defensive Holding,5,5,A
1612,536340,SEA,BB-3400,Illegal Use of Hands,5,0,D
1613,536345,DET,KV-0100,Defensive Offside,4,0,D
1614,536347,DET,LD-0400,Defensive Holding,5,5,A
1615,536347,DET,CW-2900,Defensive Offside,4,0,D
1616,536351,DET,WY-0300,Illegal Formation,3,5,A
1617,536352,DET,NF-0100,Encroachment,4,5,A
1618,536378,DET,RS-1200,False Start,1,5,A
1619,536381,DET,JG-3450,Defensive Pass Interference,5,41,A
1620,536441,SEA,BB-3400,Defensive Holding,5,0,D
1621,536459,SEA,BB-3400,Defensive Offside,4,5,A
1622,536463,SEA,XX-0000,Delay of Game,3,5,A
1623,536511,JAC,EM-1300,Offensive Holding,2,10,A
1624,536552,GB,DH-4000,Personal Foul,6,15,A
1625,536554,GB,MN-0300,Defensive Holding,5,5,A
1626,536560,JAC,DL-0300,Defensive Holding,5,5,A
1627,536563,JAC,MH-1060,Defensive Holding,5,5,A
1628,536567,GB,JB-8100,False Start,1,5,A
1629,536574,GB,EW-0100,Defensive Offside,4,3,A
1630,536590,JAC,JC-2700,Illegal Use of Hands,5,0,A
1631,536611,JAC,WM-0700,Unnecessary Roughness,6,15,A
1632,536629,JAC,WM-0700,Tripping,7,4,A
1633,536639,GB,RP-1100,Defensive Offside,4,5,A
1634,536660,JAC,WM-0700,Defensive Pass Interference,5,38,A
1635,536672,NE,VW-0200,Encroachment,4,5,A
1636,536682,STL,BF-0600,Defensive Pass Interference,5,10,A
1637,536697,STL,SB-1100,Intentional Grounding,3,12,A
1638,536713,STL,LK-0200,False Start,1,5,A
1639,536728,NE,MS-2100,Offside on Free Kick,3,5,A
1640,536735,STL,SS-1900,Offensive Holding,2,10,A
1641,536743,STL,BF-0600,Defensive Pass Interference,5,15,A
1642,536749,STL,BF-0600,Defensive Pass Interference,5,7,A
1643,536764,STL,SB-1100,Illegal Forward Pass,3,5,A
1644,536781,STL,SS-1900,False Start,1,5,A
1645,536782,NE,XX-0000,Defensive Holding,5,5,A
1646,536789,NE,NS-0500,Offensive Holding,2,0,D
1647,536793,NE,CJ-2050,Encroachment,4,5,A
1648,536801,NE,SV-0400,Illegal Formation,3,5,A
1649,536804,STL,WH-0300,Unnecessary Roughness,6,8,A
1650,536805,NE,DF-0500,False Start,1,5,A
1651,536811,NE,JB-3150,Encroachment,4,5,A
1652,536818,NE,DF-0500,Offensive Pass Interference,2,7,A
1653,536823,STL,CD-0200,Offensive Holding,2,10,A
1654,536868,WAS,LP-0200,False Start,1,5,A
1655,536876,WAS,CG-2800,Encroachment,4,5,A
1656,536892,WAS,RG-1850,Offensive Pass Interference,2,0,D
1657,536904,WAS,DJ-2400,Player Out of Bounds on Punt,3,5,A
1658,536910,PIT,CH-0800,Defensive Offside,4,5,A
1659,536935,WAS,KL-1000,False Start,1,5,A
1660,536939,PIT,AB-3500,Unsportsmanlike Conduct,6,0,D
1661,536939,PIT,CB-4400,Illegal Block Above the Waist,7,10,A
1662,536940,PIT,RF-0900,Unnecessary Roughness,6,0,O
1663,536940,WAS,JW-5300,Unsportsmanlike Conduct,6,0,O
1664,536960,PIT,KL-0600,Illegal Use of Hands,5,5,A
1665,536966,WAS,LP-0200,False Start,1,5,A
1666,536975,WAS,DH-0700,Unsportsmanlike Conduct,6,15,A
1667,536975,WAS,DH-0700,Unsportsmanlike Conduct,6,15,A
1668,536994,TEN,MO-0400,False Start,1,5,A
1669,537015,TEN,KB-1900,Offensive Pass Interference,2,10,A
1670,537017,TEN,KM-0600,False Start,1,5,A
1671,537023,TEN,MM-1030,Defensive Offside,4,5,A
1672,537031,IND,DA-2100,Personal Foul,6,15,A
1673,537035,TEN,KW-2550,Offensive Pass Interference,2,10,A
1674,537038,IND,XX-0000,Encroachment,4,5,A
1675,537041,IND,CV-0200,Defensive Holding,5,0,D
1676,537042,IND,JP-4100,Illegal Contact,5,5,A
1677,537046,TEN,KB-1900,Offensive Pass Interference,2,10,A
1678,537055,TEN,MM-1030,Roughing the Passer,6,15,A
1679,537087,IND,SS-0400,Unsportsmanlike Conduct,6,15,A
1680,537090,IND,WJ-0700,Offensive Holding,2,0,D
1681,537109,IND,AL-1100,Delay of Game,3,5,A
1682,537135,TEN,AA-1900,Illegal Use of Hands,5,5,A
1683,537174,KC,SR-1300,Illegal Contact,5,5,A
1684,537204,OAK,JV-0300,Illegal Block Above the Waist,7,10,A
1685,537235,KC,JA-1050,Offensive Holding,2,10,A
1686,537248,KC,AB-0100,Offensive Holding,2,10,A
1687,537257,KC,TM-3000,Offensive Holding,2,10,A
1688,537278,KC,JB-6500,Defensive Offside,4,5,A
1689,537293,OAK,RS-0900,Roughing the Passer,6,10,A
1690,537296,KC,JH-5500,Offside on Free Kick,3,0,O
1691,537296,OAK,TB-2400,Illegal Bat,8,0,O
1692,537309,NYG,SL-0800,Illegal Touch Pass,3,0,D
1693,537318,NYG,JH-5450,Illegal Contact,5,0,D
1694,537344,DAL,DW-1100,Defensive Offside,4,5,A
1695,537393,DAL,DW-1100,Defensive Offside,4,5,A
1696,537399,NYG,PA-0300,Defensive Pass Interference,5,20,A
1697,537441,NYG,WB-0400,Offensive Holding,2,10,A
1698,537447,NYG,JT-3800,Defensive Offside,4,5,A
1699,537461,DAL,EF-0400,Offensive Holding,2,0,A
1700,537462,NYG,JH-5450,Illegal Contact,5,5,A
1701,537467,NYG,JH-5450,Defensive Holding,5,5,A
1702,537472,DAL,DF-1800,Offensive Holding,2,0,D
1703,537493,DEN,OF-0100,Offensive Holding,2,0,O
1704,537493,NO,MJ-0600,Illegal Contact,5,0,O
1705,537499,DEN,ED-1000,Defensive Offside,4,5,A
1706,537544,DEN,JD-2700,Offensive Holding,2,10,A
1707,537545,NO,TM-1300,Defensive Holding,5,5,A
1708,537572,NO,PR-0400,Defensive Holding,5,0,D
1709,537598,NO,JE-1000,Offensive Holding,2,0,D
1710,537610,DEN,DB-5100,Offensive Holding,2,4,A
1711,537613,NO,TJ-1900,Illegal Use of Hands,5,5,A
1712,537615,DEN,RC-1200,Offensive Holding,2,10,A
1713,537639,NO,JB-8200,False Start,1,5,A
1714,537650,DEN,XX-0000,Delay of Game,3,5,A
1715,537655,ARI,WG-0500,Defensive Pass Interference,5,7,A
1716,537658,SF,AB-2100,Face Mask,6,15,A
1717,537660,SF,AS-1600,Delay of Game,3,5,A
1718,537662,SF,CS-3500,Unsportsmanlike Conduct,6,15,A
1719,537667,ARI,QG-0400,Offensive Holding,2,10,A
1720,537673,SF,GC-0350,Offensive Holding,2,10,A
1721,537683,ARI,BM-0360,False Start,1,5,A
1722,537700,SF,MI-0200,False Start,1,5,A
1723,537748,ARI,LF-0200,Offensive Pass Interference,2,10,A
1724,537771,ARI,JB-3350,Illegal Block Above the Waist,7,4,A
1725,537772,SF,AS-1500,Defensive Offside,4,5,A
1726,537773,SF,AB-3100,Defensive Offside,4,5,A
1727,537777,ARI,DB-1100,False Start,1,5,A
1728,537780,SF,LG-0700,Offensive Holding,2,10,A
1729,537780,SF,AD-1300,Illegal Block Above the Waist,7,0,D
1730,537786,SF,AS-1600,Delay of Game,3,5,A
1731,537793,ARI,DC-3000,Offensive Holding,2,10,A
1732,537795,SF,AB-3100,Defensive Offside,4,5,A
