PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
518053,SW-0500,56,55,N,DB-5300,1,N
518057,CJ-2100,60,50,N,DH-3200,10,N
518084,SW-0500,45,25,Y,XX-0000,0,N
518101,CJ-2100,48,48,N,DH-3200,0,Y
518105,SW-0500,54,55,N,DB-5300,-1,N
518157,SW-0500,46,43,N,DH-1800,3,N
518200,AP-1800,45,45,N,LB-0850,0,Y
518204,PM-0300,41,41,N,XX-0000,0,N
518229,PM-0300,63,43,Y,XX-0000,0,N
518233,AP-1800,33,33,N,XX-0000,0,N
518238,PM-0300,42,42,N,XX-0000,0,N
518294,PM-0300,57,34,N,DH-2700,23,N
518321,AP-1800,40,32,N,LB-0850,8,N
518328,AP-1800,50,30,Y,XX-0000,0,N
518357,PM-0300,54,54,N,XX-0000,0,N
518362,AP-1800,40,36,N,LB-0850,4,N
518401,RH-2500,44,44,N,DJ-0950,0,Y
518419,CH-2600,60,54,N,JC-5600,6,N
518423,RH-2500,42,42,N,XX-0000,0,N
518429,CH-2600,52,35,N,JC-5600,17,N
518436,CH-2600,54,31,N,JC-5600,23,N
518444,RH-2500,49,29,Y,XX-0000,0,N
518451,CH-2600,41,36,N,JC-5600,5,N
518455,RH-2500,49,49,N,DJ-0950,0,Y
518472,RH-2500,54,48,N,DJ-0950,6,N
518476,CH-2600,61,55,N,JC-5600,6,N
518496,CH-2600,62,41,N,JC-5600,21,N
518500,RH-2500,33,33,N,XX-0000,0,N
518534,RH-2500,37,37,N,DJ-0950,0,Y
518692,DC-3200,47,47,N,DF-1700,0,Y
518698,MB-3000,52,34,N,JA-2000,18,N
518755,BM-3600,44,-24,N,JK-1000,68,N
518804,BM-3600,37,37,N,XX-0000,0,N
518832,RM-0400,55,55,N,XX-0000,0,N
518853,RM-0400,48,21,N,LM-1100,27,N
518920,JH-3230,50,50,N,XX-0000,0,N
518950,JH-3230,46,31,N,SL-0900,15,N
518962,JH-3230,45,31,N,SL-0900,14,N
518966,BG-1100,40,40,N,DA-0900,0,Y
518972,JH-3230,43,34,N,SL-0900,9,N
518979,BG-1100,36,36,N,DA-0900,0,Y
518985,JH-3230,57,63,N,SL-0900,-6,N
518989,BG-1100,45,39,N,DA-0900,6,N
519035,TM-3300,59,48,N,BB-0600,11,N
519066,TM-3300,49,49,N,XX-0000,0,N
519085,TM-3300,59,39,N,BB-0600,20,N
519107,SR-0800,-24,-28,N,XX-0000,0,N
519127,TM-3300,54,54,N,BB-0600,0,N
519175,TM-3300,57,54,N,BB-0600,3,N
519180,SR-0800,38,33,N,DS-3300,5,N
519193,SR-0800,43,34,N,DS-3300,9,N
519216,SR-0800,58,38,Y,XX-0000,0,N
519229,BF-0300,39,39,N,TH-1900,0,Y
519254,DJ-2800,48,48,N,MT-0550,0,Y
519261,BF-0300,38,38,N,TH-1900,0,Y
519268,DJ-2800,36,36,N,XX-0000,0,N
519316,DJ-2800,49,-23,N,MT-0550,72,N
519334,BF-0300,56,42,N,TH-1900,14,N
519362,DJ-2800,30,30,N,XX-0000,0,N
519373,DJ-2800,55,51,N,MT-0550,4,N
519402,ZM-0100,28,28,N,XX-0000,0,N
519406,BK-0700,56,42,N,JE-0100,14,N
519424,ZM-0100,45,45,N,XX-0000,0,N
519436,BK-0700,44,44,N,XX-0000,0,N
519456,BK-0700,54,50,N,JE-0100,4,N
519466,ZM-0100,51,31,Y,XX-0000,0,N
519483,ZM-0100,30,30,N,DR-1200,0,Y
519488,BK-0700,55,46,N,JE-0100,9,N
519546,CK-0900,37,30,N,MT-0900,7,N
519571,CK-0900,52,52,N,XX-0000,0,N
519576,BA-0850,56,41,N,MS-1300,15,N
519580,CK-0900,53,44,N,MT-0900,9,N
519601,CK-0900,41,37,N,MJ-2500,4,N
519605,BA-0850,45,38,N,MS-1300,7,N
519636,BA-0850,57,37,Y,XX-0000,0,N
519683,BA-0850,56,56,N,MS-1300,0,Y
519687,CK-0900,59,59,N,XX-0000,0,N
519719,BN-0700,47,47,N,SS-3000,0,N
519738,BN-0700,39,39,N,SS-3000,0,Y
519753,BN-0700,30,30,N,SS-3000,0,Y
519780,BN-0700,36,36,N,XX-0000,0,N
519789,MK-1200,52,45,N,JA-0260,7,N
519801,MK-1200,48,27,N,JA-0260,21,N
519808,MK-1200,43,23,Y,XX-0000,0,N
519818,MK-1200,43,43,N,JA-0260,0,N
519823,BN-0700,-10,-10,N,XX-0000,0,N
519836,BN-0700,47,47,N,SS-3000,0,Y
519840,MK-1200,44,44,N,XX-0000,0,N
519900,JR-3700,46,29,N,PP-0400,17,N
519923,JR-3700,47,40,N,PP-0400,7,N
519930,DZ-0100,39,40,N,BB-3400,-1,N
519940,DZ-0100,47,52,N,LW-0500,-5,N
519968,DZ-0100,50,46,N,LW-0500,4,N
519972,JR-3700,48,42,N,PP-0400,6,N
519976,DZ-0100,49,49,N,LW-0500,0,Y
519984,JR-3700,44,37,N,PP-0400,7,N
519989,DZ-0100,53,1,N,LW-0500,52,N
520036,AL-0500,61,57,N,RC-1500,4,N
520048,TM-0800,55,35,Y,XX-0000,0,N
520067,TM-0800,37,37,N,KW-1800,0,Y
520114,TM-0800,60,40,N,KW-1800,20,N
520123,TM-0800,54,54,N,KW-1800,0,Y
520142,TM-0800,45,45,N,XX-0000,0,N
520150,AL-0500,47,47,N,RC-1500,0,Y
520157,TM-0800,38,38,N,KW-1800,0,Y
520162,AL-0500,61,-14,N,RC-1500,75,N
520168,AL-0500,46,46,N,RC-1500,0,Y
520187,AL-0500,41,40,N,RC-1500,1,N
520210,BC-2000,44,44,N,AB-3500,0,N
520215,DB-6350,52,40,N,JL-1200,12,N
520225,DB-6350,44,44,N,XX-0000,0,N
520232,BC-2000,46,23,N,AB-3500,23,N
520336,DB-6350,46,36,N,JL-1200,10,N
520373,KH-2600,39,39,N,XX-0000,0,N
520417,KH-2600,39,30,N,LW-0700,9,N
520425,SK-0600,37,32,N,BT-0300,5,N
520472,KH-2600,57,48,N,JJ-3900,9,N
520506,SK-0600,50,36,N,BT-0300,14,N
520510,KH-2600,48,48,N,LW-0700,0,Y
520542,MS-0600,53,38,N,PA-0100,15,N
520568,SL-0400,62,16,N,ER-0500,46,N
520607,MS-0600,55,55,N,PA-0100,0,Y
520629,SL-0400,-21,-21,N,XX-0000,0,N
520639,SL-0400,52,38,N,ER-0500,14,N
520687,MS-0600,55,55,N,XX-0000,0,N
520692,TM-0800,56,56,N,DH-2700,0,Y
520696,AP-1800,41,41,N,SS-1300,0,N
520704,TM-0800,32,32,N,XX-0000,0,N
520709,AP-1800,48,48,N,RC-1500,0,Y
520715,TM-0800,57,37,Y,XX-0000,0,N
520720,AP-1800,40,40,N,RC-1500,0,Y
520741,AP-1800,53,33,Y,XX-0000,0,N
520786,TM-0800,54,47,N,DH-2700,7,N
520802,AP-1800,50,34,N,RC-1500,16,N
520821,AP-1800,36,36,N,RC-1500,0,Y
520835,TM-0800,39,38,N,DH-2700,1,N
520851,RH-2500,53,-28,N,AJ-1200,81,N
520878,KH-2600,34,34,N,JC-5600,0,Y
520886,RH-2500,40,31,N,AJ-1200,9,N
520923,KH-2600,34,34,N,XX-0000,0,N
520944,RH-2500,44,44,N,XX-0000,0,N
520949,KH-2600,58,40,N,JC-5600,18,N
520957,RH-2500,49,49,N,AJ-1200,0,N
521021,DC-3200,35,35,N,LM-1100,0,Y
521025,BM-3600,60,45,N,JA-2000,15,N
521029,DC-3200,46,43,N,LM-1100,3,N
521047,DC-3200,50,43,N,LM-1100,7,N
521062,DC-3200,40,40,N,XX-0000,0,N
521066,BM-3600,51,51,N,XX-0000,0,N
521096,BM-3600,43,41,N,JA-2000,2,N
521100,DC-3200,66,46,Y,XX-0000,0,N
521104,BM-3600,43,20,N,JA-2000,23,N
521124,DC-3200,45,-43,N,LM-1100,88,N
521136,DC-3200,31,31,N,XX-0000,0,N
521145,BM-3600,50,30,Y,XX-0000,0,N
521156,BM-3600,54,54,N,XX-0000,0,N
521171,BM-3600,48,27,N,SB-1400,21,N
521222,PM-0300,57,43,N,MS-1300,14,N
521244,CK-0900,45,45,N,XX-0000,0,N
521280,CK-0900,55,55,N,XX-0000,0,N
521284,PM-0300,64,53,N,MS-1300,11,N
521292,CK-0900,39,28,N,TH-1850,11,N
521296,PM-0300,49,43,N,MS-1300,6,N
521301,CK-0900,53,53,N,TH-1850,0,Y
521307,PM-0300,55,47,N,MS-1300,8,N
521326,PM-0300,43,31,N,MS-1300,12,N
521382,CH-2600,56,38,N,JJ-3900,18,N
521405,CH-2600,32,32,N,XX-0000,0,N
521409,SK-0600,54,34,Y,XX-0000,0,N
521420,SK-0600,56,53,N,DJ-0950,3,N
521424,CH-2600,38,28,N,JJ-3900,10,N
521445,SK-0600,48,45,N,DJ-0950,3,N
521461,SK-0600,52,48,N,DJ-0950,4,N
521465,CH-2600,40,34,N,JJ-3900,6,N
521469,SK-0600,41,41,N,DJ-0950,0,Y
521493,CH-2600,30,30,N,LW-0700,0,Y
521564,MK-1200,39,39,N,RR-0130,0,Y
521576,SW-0500,47,34,N,SS-3000,13,N
521580,MK-1200,52,40,N,RR-0130,12,N
521604,MK-1200,53,8,N,RR-0130,45,N
521625,SW-0500,32,29,N,SS-3000,3,N
521633,MK-1200,33,33,N,RR-0130,0,Y
521668,MK-1200,36,36,N,RR-0130,0,Y
521677,MK-1200,39,39,N,XX-0000,0,N
521725,BA-0850,32,32,N,TH-1900,0,Y
521729,DJ-2800,58,55,N,MT-0900,3,N
521735,BA-0850,57,21,N,TH-1900,36,N
521750,BA-0850,50,41,N,TH-1900,9,N
521754,DJ-2800,55,55,N,XX-0000,0,N
521758,BA-0850,57,43,N,TH-1900,14,N
521771,BA-0850,41,41,N,TH-1900,0,Y
521778,DJ-2800,52,32,Y,XX-0000,0,N
521783,BA-0850,58,58,N,XX-0000,0,N
521791,DJ-2800,45,25,Y,XX-0000,0,N
521797,BA-0850,57,44,N,TH-1900,13,N
521802,DJ-2800,44,26,N,MT-0900,18,N
521830,BA-0850,57,57,N,XX-0000,0,N
521835,DJ-2800,45,34,N,MT-0900,11,N
521839,BA-0850,59,51,N,TH-1900,8,N
521886,BN-0700,37,37,N,DS-3300,0,Y
521938,TM-3300,48,34,N,JA-0260,14,N
521957,BN-0700,58,42,N,DS-3300,16,N
521961,TM-3300,65,45,Y,XX-0000,0,N
521979,TM-3300,35,35,N,XX-0000,0,N
521986,BN-0700,46,32,N,DS-3300,14,N
522016,BN-0700,48,48,N,XX-0000,0,N
522034,BN-0700,40,20,Y,XX-0000,0,N
522076,DZ-0100,44,44,N,JE-0100,0,Y
522081,ZM-0100,38,35,N,PP-0400,3,N
522086,DZ-0100,59,37,N,JE-0100,22,N
522107,ZM-0100,40,40,N,XX-0000,0,N
522111,DZ-0100,52,52,N,XX-0000,0,N
522119,ZM-0100,21,21,N,XX-0000,0,N
522133,DZ-0100,34,34,N,WW-0200,0,Y
522137,ZM-0100,-9,-9,N,XX-0000,0,N
522155,ZM-0100,39,19,Y,XX-0000,0,N
522173,ZM-0100,34,34,N,PP-0400,0,Y
522180,DZ-0100,38,38,N,XX-0000,0,N
522191,DZ-0100,53,50,N,JE-0100,3,N
522241,SR-0800,54,32,N,DA-0900,22,N
522245,JH-3230,53,33,Y,XX-0000,0,N
522306,SR-0800,51,45,N,DA-0900,6,N
522333,SR-0800,0,0,N,XX-0000,0,N
522343,SR-0800,55,54,N,DA-0900,1,N
522347,JH-3230,44,44,N,XX-0000,0,N
522358,SR-0800,28,28,N,DA-0900,0,Y
522362,JH-3230,66,69,N,BB-0600,-3,N
522367,SR-0800,52,52,N,DA-0900,0,N
522395,CJ-2100,-18,-21,N,XX-0000,0,N
522411,JR-3700,36,36,N,XX-0000,0,N
522432,JR-3700,55,53,N,DB-5300,2,N
522436,CJ-2100,44,37,N,LW-0500,7,N
522459,CJ-2100,31,31,N,XX-0000,0,N
522463,JR-3700,50,50,N,DB-5300,0,N
522470,JR-3700,68,48,Y,XX-0000,0,N
522476,CJ-2100,52,52,N,XX-0000,0,N
522496,CJ-2100,51,51,N,XX-0000,0,N
522515,CJ-2100,51,51,N,LW-0500,0,Y
522563,BK-0700,46,46,N,XX-0000,0,N
522580,BK-0700,63,62,N,ER-0500,1,N
522586,MS-0600,39,39,N,DR-1200,0,Y
522605,BK-0700,49,49,N,MS-3900,0,Y
522609,MS-0600,52,36,N,DR-1200,16,N
522613,BK-0700,55,35,Y,XX-0000,0,N
522618,MS-0600,62,49,N,DR-1200,13,N
522623,BK-0700,54,54,N,XX-0000,0,N
522628,MS-0600,44,43,N,DR-1200,1,N
522632,BK-0700,47,47,N,MS-3900,0,Y
522666,BK-0700,47,47,N,XX-0000,0,N
522705,SL-0400,33,33,N,DB-1800,0,Y
522714,DC-0500,29,29,N,XX-0000,0,N
522731,BF-0300,42,42,N,PA-0100,0,Y
522735,SL-0400,60,42,N,MT-0550,18,N
522739,BF-0300,56,57,N,PA-0100,-1,N
522744,SL-0400,48,35,N,MT-0550,13,N
522748,BF-0300,54,47,N,PA-0100,7,N
522754,SL-0400,35,24,N,DB-1800,11,N
522758,BF-0300,59,54,N,PA-0100,5,N
522778,SL-0400,50,43,N,MT-0550,7,N
522782,BF-0300,58,34,N,PA-0100,24,N
522786,SL-0400,59,38,N,MT-0550,21,N
522799,SL-0400,45,25,Y,XX-0000,0,N
522809,SL-0400,36,36,N,DB-1800,0,Y
522813,BF-0300,50,3,N,PA-0100,47,N
522836,SL-0400,56,41,N,MT-0550,15,N
522913,DB-6350,42,39,N,JK-1000,3,N
522917,RM-0400,58,38,Y,XX-0000,0,N
522941,RM-0400,53,40,N,CR-0250,13,N
522954,RM-0400,41,41,N,XX-0000,0,N
522958,DB-6350,49,49,N,XX-0000,0,N
522963,DB-6350,37,37,N,XX-0000,0,N
522968,RM-0400,32,32,N,XX-0000,0,N
522973,DB-6350,38,38,N,JK-1000,0,Y
522978,RM-0400,33,33,N,XX-0000,0,N
523000,RM-0400,55,45,N,AB-3500,10,N
523004,DB-6350,39,36,N,JK-1000,3,N
523016,BG-1100,43,43,N,XX-0000,0,N
523043,AL-0500,52,42,N,SL-0900,10,N
523061,BG-1100,46,38,N,KW-1800,8,N
523069,AL-0500,25,25,N,SL-0900,0,Y
523090,AL-0500,32,32,N,SL-0900,0,Y
523200,MB-3000,42,42,N,JL-1200,0,Y
523205,BC-2000,39,39,N,DF-1700,0,Y
523209,MB-3000,39,39,N,JL-1200,0,Y
523230,BC-2000,45,45,N,DF-1700,0,Y
523268,MB-3000,27,27,N,JL-1200,0,Y
523272,BC-2000,48,50,N,DF-1700,-2,N
523285,BC-2000,67,67,N,XX-0000,0,N
523294,MB-3000,47,47,N,JL-1200,0,N
523315,MB-3000,49,47,N,JL-1200,2,N
523321,BC-2000,52,52,N,XX-0000,0,N
523325,MB-3000,48,39,N,ED-0200,9,N
523362,BN-0700,44,24,Y,XX-0000,0,N
523378,BN-0700,39,33,N,RR-0130,6,N
523396,BN-0700,42,42,N,RR-0130,0,Y
523421,SW-0500,35,35,N,XX-0000,0,N
523484,SW-0500,41,41,N,XX-0000,0,N
523522,JH-3230,41,27,N,DH-2700,14,N
523538,JH-3230,56,36,Y,XX-0000,0,N
523544,AP-1800,46,43,N,DA-0900,3,N
523549,JH-3230,52,52,N,XX-0000,0,N
523591,AP-1800,32,32,N,XX-0000,0,N
523606,AP-1800,55,38,N,DA-0900,17,N
523614,JH-3230,38,38,N,XX-0000,0,N
523638,JH-3230,40,21,N,DH-2700,19,N
523642,AP-1800,32,32,N,DA-0900,0,Y
523646,JH-3230,52,46,N,DH-2700,6,N
523662,RH-2500,52,32,N,LM-1100,20,N
523677,RH-2500,50,17,N,LM-1100,33,N
523687,RH-2500,45,45,N,LM-1100,0,Y
523705,RH-2500,33,33,N,LM-1100,0,Y
523711,BM-3600,49,37,N,JC-5600,12,N
523735,BM-3600,27,27,N,XX-0000,0,N
523739,RH-2500,42,42,N,LM-1100,0,Y
523761,RH-2500,40,40,N,XX-0000,0,N
523765,BM-3600,36,36,N,XX-0000,0,N
523784,BM-3600,66,39,N,JC-5600,27,N
523790,RH-2500,28,28,N,XX-0000,0,N
523810,RH-2500,46,46,N,XX-0000,0,N
523814,BM-3600,30,30,N,XX-0000,0,N
523820,BM-3600,44,40,N,JC-5600,4,N
523856,BA-0850,42,10,N,TH-1850,32,N
523860,PM-0300,49,47,N,MT-0900,2,N
523866,BA-0850,52,52,N,TH-1850,0,Y
523877,PM-0300,37,37,N,MT-0900,0,Y
523884,BA-0850,66,46,Y,XX-0000,0,N
523909,PM-0300,53,49,N,MT-0900,4,N
523919,PM-0300,38,36,N,MT-0900,2,N
523923,BA-0850,46,46,N,TH-1850,0,N
523940,PM-0300,40,40,N,XX-0000,0,N
523973,BA-0850,55,46,N,TH-1850,9,N
523980,PM-0300,63,43,Y,XX-0000,0,N
523984,BA-0850,60,46,N,TH-1850,14,N
524026,CJ-2100,49,48,N,JS-2300,1,N
524044,MK-1200,37,37,N,XX-0000,0,N
524049,CJ-2100,54,45,N,JS-2300,9,N
524055,MK-1200,29,29,N,DH-1800,0,Y
524059,CJ-2100,41,41,N,XX-0000,0,N
524076,MK-1200,56,36,Y,XX-0000,0,N
524088,MK-1200,45,46,N,DB-5300,-1,N
524108,MK-1200,31,31,N,DH-1800,0,Y
524117,MK-1200,41,21,Y,XX-0000,0,N
524133,MK-1200,43,44,N,DB-5300,-1,N
524138,CJ-2100,29,29,N,JS-2300,0,Y
524143,MK-1200,49,5,N,DB-5300,44,N
524189,RM-0400,54,53,N,MT-0550,1,N
524195,BF-0300,57,39,N,JK-1000,18,N
524204,RM-0400,43,33,N,DB-1800,10,N
524261,BF-0300,59,39,Y,XX-0000,0,N
524265,RM-0400,61,53,N,MT-0550,8,N
524302,RM-0400,48,48,N,DB-1800,0,Y
524306,BF-0300,62,46,N,JK-1000,16,N
524312,RM-0400,33,33,N,XX-0000,0,N
524317,BF-0300,57,46,N,JK-1000,11,N
524354,RM-0400,35,35,N,DB-1800,0,Y
524377,SR-0800,58,58,N,XX-0000,0,N
524391,KH-2600,37,37,N,BB-0600,0,Y
524395,SR-0800,45,45,N,AJ-1200,0,N
524408,SR-0800,40,38,N,BT-0300,2,N
524428,SR-0800,33,25,N,AJ-1200,8,N
524469,KH-2600,56,57,N,BB-0600,-1,N
524487,SR-0800,41,41,N,BT-0300,0,Y
524491,KH-2600,33,33,N,XX-0000,0,N
524495,SR-0800,44,24,Y,XX-0000,0,N
524508,SR-0800,49,35,N,BT-0300,14,N
524534,KH-2600,39,39,N,XX-0000,0,N
524582,DC-3200,55,53,N,DS-3300,2,N
524587,TM-3300,70,50,Y,XX-0000,0,N
