TID,GID,TNAME,PTS,1QP,2QP,3QP,4QP,RFD,PFD,IFD,RY,RA,PY,PA,PC,SK,INT,FUM,PU,GPY,PR,PRY,KR,KRY,IR,IRY,PEN,TOP,TD,TDR,TDP,TDT,FGM,FGAT,FGY,RZA,RZC,BRY,BPY,SRP,S1RP,S2RP,S3RP,SPP,S1PP,S2PP,S3PP,LEA,LEY,LTA,LTY,LGA,LGY,MDA,MDY,RGA,RGY,RTA,RTY,REA,REY,R1A,R1Y,R2A,R2Y,R3A,R3Y,QBA,QBY,SLA,SLY,SMA,SMY,SRA,SRY,DLA,DLY,DMA,DMY,DRA,DRY,WR1A,WR1Y,WR3A,WR3Y,TEA,TEY,RBA,RBY,SGA,SGY,P1A,P1Y,P2A,P2Y,P3A,P3Y,SPC,MPC,LPC,Q1RA,Q1RY,Q1PA,Q1PY,LCRA,LCRY,LCPA,LCPY,RZRA,RZRY,RZPA,RZPY,SKY,LBS,DBS,SFPY,DRV,NPY,TB,I20,RTD,LNR,LNP,LBR,LBP,DBR,DBP,NHA,S3A,S3C,L3A,L3C,STF,DP,FSP,OHP,PBEP,DLP,DSP,DMP,PFN
196,3286,STL,20,3,3,0,14,7,11,1,108,22,246,33,21,3,1,0,2,99,0,0,3,82,0,0,30,27,2,1,1,0,2,2,93,3,2,55,98,13,6,5,2,14,6,5,3,2,20,3,17,3,9,3,15,2,9,4,14,5,24,11,54,9,47,2,7,0,0,14,111,5,46,8,57,4,0,1,22,1,19,15,150,10,57,4,5,4,43,23,121,14,132,10,50,12,64,7,7,7,8,41,7,39,0,0,0,0,3,12,6,19,9,3,0,186,9,84,0,1,0,4,0.5,10.5,4.5,6.5,15,3,3,2,7,1,3,0,2,1,1,3,1,1,0
197,3287,BAL,13,3,0,7,3,4,6,2,55,12,121,43,21,4,2,0,5,253,1,1,7,201,0,0,56,21.5,1,0,1,0,2,2,105,2,1,17,0,8,5,1,2,16,9,5,2,0,0,2,5,2,5,6,27,1,1,1,17,0,0,8,45,2,3,2,7,2,7,13,27,6,35,20,85,0,0,1,0,2,0,21,65,3,32,13,38,5,12,35,94,15,68,18,21,14,32,6,13,2,5,36,9,16,0,0,0,0,0,0,3,7,26,2,0,317,12,244,0,1,0,5,0.5,3,7,4,11.5,1,3,2,7,1,2,0,0,0,0,1,1,4,0
198,3287,HOU,43,9,20,7,7,11,13,3,182,36,239,37,23,2,0,0,5,240,4,9,1,17,2,52,60,38.5,5,2,2,1,2,2,62,5,3,51,79,23,10,7,6,19,10,7,2,3,13,11,55,3,14,7,35,3,16,6,28,3,22,18,80,11,57,7,46,0,0,10,78,13,40,7,40,1,0,4,64,2,34,16,160,2,0,12,91,7,5,19,74,16,110,15,90,8,39,4,14,5,8,38,11,49,0,0,0,0,9,47,3,1,17,1,1,369,12,239,0,2,0,8,0,18,4,8,16,0,5,5,6,1,2,9,0,3,0,0,2,0,0
199,3288,ARI,14,0,7,0,7,5,15,1,126,26,230,36,25,7,1,1,6,234,4,7,1,13,2,0,82,35,2,1,1,0,0,1,0,4,2,54,43,15,9,6,0,21,10,6,5,3,50,2,15,5,18,11,23,1,3,0,0,4,17,15,86,11,40,0,0,0,0,8,68,12,91,10,60,0,0,4,43,2,0,16,132,7,26,7,54,6,50,33,178,16,126,11,64,16,40,5,13,7,8,33,9,41,0,0,0,0,4,8,4,12,32,0,1,462,13,234,0,5,0,7,3,10.5,2.5,6.5,17.5,0,4,2,7,2,6,0,2,1,2,1,3,0,0
200,3288,MIN,21,7,7,7,0,7,2,3,166,27,43,17,8,3,2,0,7,280,1,0,2,47,1,31,35,25,3,1,1,1,0,0,0,2,2,91,0,16,9,6,1,6,2,3,1,2,10,3,52,3,32,15,59,2,6,2,7,0,0,15,104,8,53,4,9,1,2,6,17,0,0,11,41,0,0,0,0,0,0,1,8,7,44,4,0,4,6,11,21,6,4,7,36,7,3,3,5,0,6,50,3,15,4,13,0,0,4,22,1,3,15,2,0,259,12,273,0,1,0,4.5,0,9.5,4,11,3,0,4,0,3,0,3,7,1,2,2,2,0,0,1
201,3289,NYJ,26,7,3,3,13,7,16,3,106,33,297,41,28,4,1,1,3,170,3,22,4,116,0,0,60,36,2,1,1,0,4,4,161,4,2,13,137,15,8,4,3,22,8,9,5,0,0,4,22,6,10,17,54,4,12,1,8,0,0,20,62,9,36,3,8,0,0,9,35,12,65,9,55,2,19,2,47,7,107,18,175,3,0,9,108,11,45,20,111,15,118,18,103,12,76,6,12,10,9,25,8,62,8,22,6,16,10,29,5,4,31,2.5,0,300,12,129,1,0,0,10.5,1,16.5,12,4,12,1,5,3,8,4,5,0,2,2,1,1,2,1,0
202,3289,NE,29,14,2,7,3,6,17,3,131,31,250,42,26,1,0,1,6,269,2,21,8,222,1,0,40,31.5,3,0,2,0,2,2,91,2,2,52,41,14,8,5,1,20,7,5,8,3,17,4,4,6,19,6,24,7,28,2,28,3,11,17,84,12,43,2,4,0,0,8,51,9,89,13,85,8,34,1,0,2,0,16,72,4,16,16,132,5,39,40,258,16,86,12,59,15,105,7,11,8,6,29,12,79,4,11,15,95,2,-1,4,35,9,1,0,211,10,247,0,4,1,8.5,2,12.5,4.5,10,16.5,28,4,3,8,3,8,2,1,2,0,0,5,0,0
203,3290,JAC,23,7,10,3,3,3,6,1,55,25,155,32,17,3,0,1,9,379,4,44,3,54,1,2,92,30,2,1,1,0,3,3,135,1,1,0,68,6,2,4,0,9,5,3,1,4,1,1,7,5,8,8,23,2,6,2,5,3,5,13,23,10,31,2,1,2,5,12,55,6,47,10,22,1,42,2,0,1,19,10,83,8,24,4,20,10,58,26,114,10,58,11,53,14,48,4,10,3,7,12,8,99,4,4,12,44,1,5,2,11,26,1,0,596,17,353,1,2,0,12,2,8,2,4,12,1,3,0,12,1,8,0,0,2,1,0,2,1,0
204,3290,OAK,26,3,3,7,10,8,9,3,70,25,282,45,26,2,1,2,6,264,5,6,4,99,0,0,58,32,2,1,1,0,4,5,125,5,2,13,117,10,3,5,2,18,10,4,4,3,0,8,24,0,0,9,31,2,2,2,4,1,9,9,26,13,37,3,7,5,15,12,63,16,89,8,29,3,23,3,35,3,59,19,162,2,0,10,44,14,92,23,95,21,101,12,66,14,115,9,11,6,5,4,7,71,5,25,12,53,5,8,9,29,16,0,0,464,15,200,1,1,0,14.5,1.5,5.5,9.5,4,13,18,2,2,13,4,6,0,2,3,1,3,0,0,0
205,3291,PIT,24,3,11,3,7,10,12,0,168,28,264,38,27,3,1,1,3,120,3,10,4,122,1,11,50,37.5,2,1,1,0,3,3,131,3,2,130,145,15,7,3,5,18,6,7,5,2,13,3,28,3,22,3,10,9,68,3,8,5,19,17,57,6,39,5,72,0,0,4,2,13,135,12,78,3,23,3,20,3,20,25,188,1,20,9,60,3,10,21,133,13,54,17,105,11,105,9,11,7,3,2,9,69,11,88,8,45,2,12,5,20,14,0,0,316,11,115,0,2,0,8.5,3,11,10.5,7.5,11.5,0,4,4,8,4,6,0,0,6,0,0,0,0,0
206,3291,CIN,17,7,7,3,0,6,5,0,81,20,105,28,14,0,1,0,6,311,1,5,5,134,1,0,20,22.5,2,1,1,0,1,1,48,2,2,26,0,14,7,3,4,9,3,4,2,0,0,1,4,1,7,2,6,4,18,12,46,0,0,12,45,4,13,4,23,0,0,6,18,11,53,7,34,2,0,1,0,0,0,7,11,14,75,5,19,1,0,25,99,7,25,11,45,10,35,6,7,1,9,49,6,31,4,8,7,14,4,20,1,8,0,0,0,306,11,281,1,1,0,5,0,7.5,6,6.5,7,0,4,3,6,1,4,0,0,2,0,0,0,1,1
207,3292,DET,7,0,0,0,7,4,16,1,99,18,241,46,28,3,1,3,8,321,6,7,2,44,0,0,47,25.5,1,0,1,0,0,0,0,4,1,55,67,10,8,2,0,22,12,6,4,0,0,5,29,4,26,0,0,4,20,2,4,3,20,11,69,7,30,0,0,3,23,8,45,9,33,19,81,3,16,1,0,6,86,19,115,7,67,9,43,11,36,50,267,20,144,15,57,14,40,10,11,7,4,22,9,8,0,0,0,0,3,9,9,21,20,0,0,307,12,314,0,3,0,7,1,5,7,4,19,18,4,2,6,1,4,0,2,0,0,1,1,1,0
208,3292,CHI,13,10,0,3,0,7,9,3,172,31,125,32,17,5,0,0,8,324,2,7,2,27,1,2,49,34.5,1,0,1,0,2,3,60,3,1,108,43,13,7,4,2,10,2,4,4,4,21,7,70,4,7,0,0,8,29,4,21,4,24,19,78,9,74,3,20,3,40,8,24,5,24,16,82,1,20,1,0,1,0,16,119,6,27,4,3,6,1,23,111,10,19,13,40,14,66,6,6,5,7,78,10,24,0,0,0,0,2,3,8,4,25,1,1,392,14,317,0,2,0,7,0,9.5,6,14.5,10,2,1,1,11,4,11,0,3,4,0,0,1,1,1
209,3293,TB,36,10,10,10,6,8,14,1,161,39,257,36,19,1,0,0,6,281,3,1,0,0,1,0,49,38,4,1,3,0,3,3,106,4,3,80,124,17,9,6,2,17,4,7,6,5,23,9,39,7,21,12,60,3,1,1,8,2,10,20,66,14,84,5,12,0,0,11,109,8,37,13,52,2,34,1,26,1,0,17,108,6,27,3,40,10,83,29,218,12,27,13,124,12,102,3,12,4,8,66,12,55,0,0,0,0,8,11,9,41,5,0,0,415,14,250,0,0,0,7,1,11,5,17,10,0,2,2,11,5,15,0,1,2,0,0,0,3,0
210,3293,MIN,17,0,10,7,0,4,11,1,140,21,229,35,19,3,1,2,6,227,3,31,1,43,0,0,32,22,2,1,1,0,1,1,51,2,1,97,115,10,6,4,0,14,7,2,5,1,5,2,4,2,22,12,38,1,0,1,40,2,-4,11,53,9,64,1,-12,4,0,9,79,2,22,15,82,5,61,0,0,3,18,28,216,0,0,2,17,4,29,32,217,16,89,9,56,13,95,5,7,7,7,39,6,15,0,0,0,0,2,4,4,18,22,1,0,335,14,226,0,0,0,4.5,2,3,3.5,9.5,12.5,0,2,0,10,5,8,0,3,0,0,0,1,2,0
211,3294,CAR,22,3,10,6,3,6,12,3,119,36,297,39,20,2,2,0,3,77,0,0,0,0,1,2,21,36.5,1,0,0,1,5,5,175,4,1,60,134,16,7,4,5,17,6,5,6,6,23,5,11,7,21,0,0,13,53,4,1,1,16,18,57,11,26,7,42,5,43,11,58,5,36,12,57,5,83,4,78,1,0,20,204,4,0,7,55,7,53,41,272,14,140,14,62,13,93,2,10,8,6,14,11,103,7,31,4,7,6,27,4,0,17,0,0,315,12,66,0,0,0,13.5,0.5,11,3.5,11.5,14,3,5,3,10,4,14,0,0,1,1,0,2,1,0
212,3294,CHI,23,7,0,0,16,3,13,2,79,19,131,28,19,6,1,2,4,179,2,11,7,44,2,27,40,23.5,3,1,1,1,1,2,41,3,2,29,24,7,5,2,0,15,8,5,2,3,23,3,1,3,7,0,0,5,24,1,2,4,22,13,54,6,25,0,0,1,4,9,60,10,98,7,28,0,0,1,0,1,0,14,98,6,52,3,12,5,24,24,97,14,74,12,38,8,19,4,13,2,5,44,7,-5,1,3,7,52,3,16,3,11,55,0,0,410,11,179,0,3,0,6,0,8.5,8,3.5,10,6,0,0,7,1,5,6,1,1,0,1,1,2,0
213,3295,SD,6,0,3,3,0,8,9,0,117,34,148,33,18,1,0,1,6,279,5,46,2,32,0,0,15,31,0,0,0,0,2,2,74,2,0,21,46,18,7,8,3,14,7,4,3,0,0,8,30,6,20,0,0,10,23,10,50,0,0,16,66,13,41,5,16,0,0,9,74,8,49,10,31,1,0,2,0,3,0,7,43,4,0,9,25,12,94,31,152,12,65,9,49,13,34,6,10,2,10,47,4,21,10,28,11,60,1,-6,1,-8,6,0,0,276,11,272,0,3,0,6.5,2.5,18,6,9.5,8.5,3,4,3,7,1,5,0,1,0,0,1,1,0,0
214,3295,CLE,7,7,0,0,0,6,7,2,135,31,117,27,11,2,0,0,9,356,2,7,2,47,0,0,35,29,1,1,0,0,0,0,0,0,0,73,48,15,8,5,2,9,4,2,3,0,0,3,23,5,6,5,-10,14,79,4,17,0,0,14,49,11,51,6,15,2,6,8,26,2,0,14,81,2,0,0,0,1,22,10,74,2,7,8,26,7,22,9,39,10,52,9,28,10,37,2,6,3,11,43,6,17,5,25,4,23,0,0,0,0,12,1,0,285,11,290,1,3,0,4,0,16.5,4,8.5,7,1,5,3,11,2,8,0,1,3,0,0,0,0,0
215,3296,ATL,30,14,10,3,3,6,14,4,146,37,246,29,22,2,0,0,2,52,1,11,2,30,0,0,40,33,3,0,3,0,3,3,102,4,2,74,100,16,10,5,1,17,3,8,6,3,17,1,-1,2,9,20,75,1,6,3,5,7,32,23,71,10,71,4,1,0,0,9,145,2,8,18,106,0,0,0,0,0,0,9,158,2,30,5,29,13,42,22,232,7,27,14,148,10,68,7,11,4,13,28,11,80,0,0,0,0,6,8,10,39,16,0,0,267,9,45,0,0,0,15,3,9,5,12,11,4,3,2,6,2,11,0,1,0,3,2,0,2,0
216,3296,PHI,17,0,7,3,7,9,10,1,92,24,178,35,21,3,0,0,3,144,1,7,5,89,0,0,57,27,2,1,1,0,1,1,33,3,2,33,32,13,7,2,4,16,7,6,3,6,25,0,0,2,1,3,15,0,0,3,6,10,45,12,47,6,8,6,37,7,42,11,56,8,34,15,101,1,0,0,0,0,0,25,137,1,0,5,32,4,22,45,213,15,74,13,82,10,22,6,12,3,1,-1,3,6,0,0,0,0,7,17,5,17,13,0,1,265,10,133,0,2,0,6,3,8.5,2.5,7.5,10.5,2,3,2,7,1,6,0,0,1,0,1,6,1,0
217,3297,MIA,30,10,10,7,3,3,8,3,101,29,139,24,13,2,0,1,6,320,2,26,2,78,1,29,31,29,3,1,1,0,3,3,114,3,2,34,67,13,7,5,1,11,3,5,3,4,9,4,23,4,9,12,57,2,4,3,0,0,0,15,52,11,47,3,3,0,0,5,34,1,17,11,31,5,67,0,0,1,0,15,69,3,67,3,4,3,9,14,98,8,34,8,45,10,60,4,6,3,8,36,9,37,0,0,0,0,4,6,5,24,10,2,0,501,14,280,2,4,0,7,0,13,2,7,10,8,3,0,5,1,10,0,1,1,0,0,2,0,1
218,3297,NYJ,9,0,0,3,6,3,17,2,105,21,258,54,28,4,1,1,7,273,0,0,4,101,0,0,45,31,1,0,1,0,1,2,38,4,1,36,64,11,7,2,2,22,9,8,5,4,21,2,2,2,5,6,19,2,12,5,46,0,0,16,86,3,12,2,7,2,8,15,57,13,89,17,94,1,0,3,43,3,0,18,72,16,111,12,67,7,33,44,227,18,102,22,87,18,69,11,10,7,4,7,9,15,0,0,0,0,2,-1,9,5,25,1,2,300,13,248,0,1,0,6.5,1.5,7,8.5,5.5,17,13,4,3,10,2,5,0,0,0,1,1,0,2,0
219,3298,SEA,24,3,14,0,7,6,12,3,133,19,236,35,25,0,1,1,3,145,3,29,4,68,1,0,10,25.5,3,1,2,0,1,2,23,3,2,98,0,9,6,3,0,17,9,4,4,4,16,5,-2,0,0,6,36,0,0,1,6,3,40,13,86,6,10,0,0,1,9,8,44,7,78,15,74,2,16,1,0,2,18,15,113,3,17,8,49,9,51,25,172,14,107,11,55,10,68,6,14,5,4,2,8,55,4,17,10,88,3,9,4,30,0,0,0,226,10,139,0,3,0,8.5,0,6.5,7.5,3,14.5,1,2,1,4,1,6,0,0,0,1,1,2,0,0
220,3298,DET,28,7,7,0,14,3,23,0,84,22,331,49,34,2,1,0,4,176,1,6,1,21,1,26,61,34.5,4,1,3,0,0,0,0,3,3,26,91,10,6,3,1,27,8,8,11,1,10,3,7,0,0,9,37,0,0,5,15,4,15,14,43,7,40,1,1,4,12,10,86,14,93,19,107,3,0,0,0,3,66,17,146,5,37,17,120,10,49,50,340,17,91,19,93,15,147,7,21,6,5,30,10,70,6,13,16,84,6,11,9,35,21,1,0,182,9,147,0,0,0,9,0.5,7,10,5,20.5,5,4,4,10,6,3,0,1,0,1,3,2,0,0
221,3299,JAC,15,3,9,0,3,1,14,3,62,20,279,49,27,2,0,1,6,203,1,0,4,84,0,0,77,31,1,0,1,0,3,3,92,3,1,21,119,4,4,0,0,17,5,7,5,3,21,4,10,3,9,4,6,2,7,2,3,2,8,13,49,7,15,0,0,1,0,11,86,9,45,17,60,2,41,6,35,3,36,27,202,4,7,7,21,9,72,40,236,17,70,16,108,18,101,9,7,11,7,35,9,67,0,0,7,48,3,8,8,11,24,1,1,361,13,183,1,0,0,5,0.5,9,6,6,19.5,2,0,0,11,3,4,0,0,1,0,0,4,1,1
222,3299,GB,24,7,7,0,10,5,9,6,67,25,172,36,22,2,0,1,5,225,1,0,2,57,0,0,33,29,3,0,2,0,1,2,25,4,2,0,51,12,6,2,4,16,8,7,1,2,4,5,15,5,6,6,20,1,4,4,8,2,10,14,40,6,15,5,12,2,5,13,72,5,29,13,54,2,0,2,31,1,0,16,106,3,19,9,24,8,37,29,129,14,83,15,76,9,13,9,11,2,6,22,6,49,6,13,8,45,3,6,6,14,14,0,0,436,13,205,1,1,0,12.5,1,7,3,5.5,16,10,5,4,5,0,4,0,1,0,0,2,1,1,0
223,3300,NE,45,7,21,10,7,9,16,4,155,25,321,38,24,0,0,0,2,113,3,16,1,19,2,53,42,29,6,2,4,0,1,1,26,7,6,132,106,12,6,4,2,22,9,7,6,2,13,4,-4,7,33,2,8,6,32,3,32,1,40,14,62,8,87,3,5,0,0,15,112,10,107,8,58,1,25,2,0,2,19,14,76,2,8,14,164,8,73,31,236,17,137,12,76,9,108,2,12,10,6,30,8,119,0,0,0,0,8,3,13,71,0,0,0,307,10,93,1,1,0,5.5,0,10.5,6,7,14,0,5,4,5,3,8,0,1,3,3,3,1,0,0
224,3300,STL,7,7,0,0,0,7,9,1,108,22,219,33,24,2,2,0,4,195,1,0,5,93,0,0,102,31,1,0,1,0,0,0,0,1,0,52,111,13,6,6,1,14,8,3,3,3,14,3,21,4,12,2,8,3,4,3,32,3,16,11,60,8,53,2,-6,3,8,13,54,6,39,9,41,3,61,1,50,0,0,7,109,10,54,8,62,7,20,19,56,13,121,11,81,11,18,8,11,5,5,19,6,96,0,0,0,0,0,0,1,0,25,0,0,208,10,179,0,1,0,5,3,10,8,6,12,0,4,4,5,0,4,0,2,2,2,0,3,1,0
225,3301,WAS,12,0,6,3,3,6,10,1,88,19,169,35,16,1,0,0,4,151,2,34,4,97,0,0,55,27,1,0,1,0,2,2,93,3,1,44,89,11,5,5,1,13,6,3,4,3,20,4,12,1,11,5,9,1,5,4,18,1,7,10,36,6,40,3,6,4,4,11,25,8,14,7,33,4,68,2,16,3,21,12,62,12,35,8,80,2,0,35,121,14,123,10,32,12,14,5,7,4,5,21,4,51,0,0,0,0,4,11,8,-8,8,1,0,224,10,126,0,0,0,3.5,2,7.5,3.5,7,9.5,0,2,1,5,0,4,0,3,1,1,1,0,3,0
226,3301,PIT,27,10,10,7,0,7,16,2,140,27,215,33,24,1,0,0,3,152,3,25,3,51,0,0,20,33,3,0,3,0,2,2,75,5,3,101,52,13,8,3,2,18,9,6,3,1,13,4,23,4,13,8,18,5,42,4,28,1,3,17,88,5,28,5,24,2,6,12,91,6,27,13,86,0,0,1,18,1,0,20,156,0,0,7,47,6,19,24,209,13,123,13,58,8,34,8,12,4,5,45,11,73,0,0,0,0,5,5,10,35,7,1,0,258,9,118,0,2,0,4,1,11,7,12,13,10,3,2,8,2,5,0,0,0,0,1,1,2,1
227,3302,IND,19,3,0,3,7,12,16,2,172,33,286,38,26,2,1,0,2,87,1,13,3,28,0,0,45,34,2,1,1,0,2,3,64,4,2,68,84,21,13,6,2,22,8,9,5,1,0,5,32,2,8,17,87,2,20,3,15,3,10,20,109,9,44,4,19,5,29,13,96,7,29,12,92,1,22,2,37,3,22,18,133,7,44,4,35,9,86,19,161,16,104,15,102,9,81,4,14,8,7,40,4,43,15,67,12,115,6,21,6,25,11,1,0,204,9,48,1,0,0,4.5,1,13,5,14.5,17,13,4,3,7,3,6,0,0,1,1,1,2,2,0
228,3302,TEN,13,3,7,0,3,7,11,2,112,25,227,29,22,2,0,0,3,130,1,19,1,7,1,0,65,31,1,0,1,0,2,3,69,2,0,46,81,10,4,6,0,14,5,4,5,4,20,4,21,3,20,5,15,2,4,5,13,2,15,13,49,12,59,0,0,2,6,8,41,3,30,12,84,3,23,1,0,2,58,11,103,7,54,7,60,4,19,9,71,12,88,8,59,11,80,6,10,6,7,23,8,55,7,38,8,59,3,-3,1,-1,9,1,0,148,7,117,0,1,0,4,0.5,14.5,3,6.5,17.5,0,1,1,7,1,5,0,2,3,0,1,1,1,0
229,3303,OAK,26,3,10,10,3,6,8,1,136,33,209,28,14,0,1,0,6,256,3,38,2,46,2,25,20,29,2,0,2,0,4,4,132,6,1,89,119,12,5,6,1,11,4,6,1,5,53,3,11,0,0,18,48,0,0,1,2,6,22,19,74,11,61,3,1,0,0,12,156,3,9,9,44,2,0,0,0,2,0,11,128,8,9,3,49,6,23,15,119,8,37,11,159,9,13,3,6,5,9,14,7,89,0,0,0,0,6,6,8,16,0,0,0,508,14,177,1,1,0,11,0,13.5,4,8.5,8,13,1,0,5,1,9,0,0,0,0,0,0,1,1
230,3303,KC,16,0,6,3,7,5,11,1,103,21,197,34,22,3,2,2,5,236,5,59,2,52,1,17,40,31,1,0,1,0,3,3,124,3,1,68,66,7,2,3,2,14,9,3,2,3,3,2,1,0,0,12,71,0,0,2,2,2,24,9,17,9,53,3,31,8,52,10,53,7,50,11,50,3,0,3,66,0,0,16,126,1,0,11,75,6,18,33,184,19,123,9,53,9,21,7,12,3,6,23,5,-6,0,0,0,0,4,8,3,-2,22,2,0,395,13,198,0,2,0,4,1,8,11,8,9,6,1,1,5,2,4,0,0,3,1,1,1,0,0
231,3304,NYG,29,13,10,0,6,4,7,0,103,28,190,29,15,1,1,1,6,287,1,1,4,86,4,103,45,27.5,2,1,0,1,5,5,184,4,1,48,85,12,6,6,0,10,5,2,3,4,16,4,20,6,30,5,23,1,14,6,8,2,-1,15,63,10,44,3,3,1,3,6,12,8,38,10,57,2,29,1,56,2,0,15,69,6,94,6,29,2,0,22,118,9,62,9,29,12,99,5,6,4,10,24,8,79,9,37,6,68,6,21,1,0,2,1,0,483,14,279,0,2,0,12,1,12,2.5,3,11.5,0,2,0,6,2,8,7,0,1,1,1,5,0,0
232,3304,DAL,24,0,10,14,0,4,21,3,20,16,415,61,36,4,4,2,4,165,2,8,6,142,1,0,10,32.5,3,2,1,0,1,1,51,4,3,0,177,6,2,3,1,34,17,10,7,3,5,0,0,1,3,6,19,1,0,2,-7,3,0,8,5,7,14,1,1,1,1,14,58,14,153,15,76,8,101,5,25,5,24,27,243,3,0,26,181,4,13,44,229,28,128,22,198,15,89,8,19,9,4,11,9,37,2,-6,22,116,7,9,11,35,22,0,0,383,15,164,0,3,0,4.5,1,8,10,0.5,24,1,4,1,7,3,7,0,0,2,0,2,0,0,0
233,3305,NO,14,0,7,0,7,2,12,0,52,16,201,42,22,1,1,0,8,413,1,-1,0,0,0,0,15,25,2,0,2,0,0,0,0,1,1,0,49,8,5,3,0,17,5,9,3,1,8,2,6,1,-3,5,26,2,12,2,6,3,-3,10,33,6,19,0,0,0,0,14,71,4,71,16,53,2,0,4,18,1,0,20,88,1,0,10,63,11,62,40,183,13,51,15,116,15,34,5,11,6,6,16,9,29,0,0,0,0,0,0,1,18,12,1,0,236,12,370,0,4,0,3,1.5,8.5,8,4.5,8.5,0,3,0,7,0,5,0,1,1,0,0,4,0,0
234,3305,DEN,34,7,10,7,10,11,16,2,226,40,305,30,22,0,0,1,5,232,4,43,1,12,1,8,34,35,4,1,3,0,2,2,66,6,4,119,198,27,19,7,1,18,8,6,4,3,37,5,34,1,4,18,77,4,19,4,26,5,29,26,165,9,47,5,14,1,4,13,99,3,14,7,68,6,124,0,0,1,0,17,199,1,0,9,77,3,29,22,145,10,197,13,69,7,39,8,5,9,10,42,7,65,0,0,0,0,8,21,9,39,0,0,0,326,12,213,1,3,0,16.5,1,9,2.5,13.5,14.5,1,4,3,6,2,5,0,0,4,1,1,0,0,0
235,3306,SF,24,7,10,7,0,4,10,1,113,29,204,19,18,4,0,0,5,244,5,59,1,31,1,0,80,31.5,3,0,3,0,1,1,43,2,2,29,147,14,8,4,2,13,4,5,4,2,-1,5,26,0,0,19,68,0,0,2,12,1,8,16,64,8,33,5,16,1,6,6,67,2,22,8,92,1,23,1,25,0,0,9,92,3,51,5,72,2,17,8,103,6,37,10,56,7,111,4,8,6,11,66,6,50,0,0,0,0,2,4,4,13,28,2,0,266,10,229,0,3,0,9,0,17.5,2,2.5,12,0,3,2,8,3,7,0,1,2,2,3,0,2,1
236,3306,ARI,3,0,0,3,0,0,15,1,7,9,258,52,32,4,1,0,7,331,4,15,0,0,0,0,51,28.5,0,0,0,0,1,1,28,2,0,11,71,0,0,0,0,22,10,8,4,0,0,1,-2,0,0,4,7,0,0,4,2,0,0,4,-4,4,0,1,11,1,1,14,80,8,44,24,146,2,20,1,0,3,0,22,117,15,57,8,75,6,43,46,169,21,74,18,109,17,75,10,15,7,2,0,5,22,0,0,0,0,1,1,6,13,32,4,0,214,10,252,1,1,0,4,0,5,7.5,0,24.5,12,2,2,13,1,6,0,2,3,0,0,1,0,1
